Part Name,Qty,Supplier,Sum: $2373.38,URL
Linear Guide - MGN9H x 450mm,2,Aliexpress,$47.00,https://www.aliexpress.us/item/3256803335691161.html?pdp_npi=4%40dis%21USD%21US%20%2436.00%21US%20%2436.00%21%21%2136.00%2136.00%21%402101d06517102942688175912d29f6%2112000026160680481%21sh01%21US%212734383106%21&spm=a2g0o.store_pc_home.productList_1998398.1005003522005913&gatewayAdapt=glo2usa
Bearing - F695,20,Aliexpress,$13.84,https://www.aliexpress.us/item/3256804321588011.html?spm=a2g0o.productlist.main.55.496968ca3V9Nyc&algo_pvid=eb7c40f4-6cd7-4444-afa7-ace88288838a&algo_exp_id=eb7c40f4-6cd7-4444-afa7-ace88288838a-27&pdp_npi=4%40dis%21USD%213.26%213.26%21%21%213.26%213.26%21%402103273e17102952155465873e00c2%2112000029408400656%21sea%21US%21811915589%21&curPageLogUid=qarOh2zedByE&utparam-url=scene%3Asearch%7Cquery_from%3A
Bearing - 625,12,Aliexpress,$5.54,https://www.aliexpress.us/item/2251832676192179.html?pdp_npi=4%40dis%21USD%21US%20%241.32%21US%20%241.32%21%21%211.32%211.32%21%40210307c017102954314928009edaa8%2110000002048304187%21sh%21US%212734383106%21&spm=a2g0o.store_pc_allItems_or_groupList.new_all_items_2007586057106.32862506931&gatewayAdapt=glo2usa
Belts: GT2 6mm x 2m,1,Aliexpress,$3.99,https://www.aliexpress.us/item/3256803117174516.html?spm=a2g0o.productlist.main.1.2aaa695eoQUJfJ&algo_pvid=8acf287a-7950-4255-a851-c0aaba715f9d&algo_exp_id=8acf287a-7950-4255-a851-c0aaba715f9d-0&pdp_npi=4%40dis%21USD%2120.19%2120.19%21%21%2120.19%2120.19%21%4021032e4e17102960880547273e67ff%2112000025106541662%21sea%21US%212734383106%21&curPageLogUid=QrIW78i2tNok&utparam-url=scene%3Asearch%7Cquery_from%3A
Timing Pully - GT2 20T 6mm,2,Aliexpress,$5.12,https://www.aliexpress.us/item/2251832836965041.html?pdp_npi=4%40dis%21USD%21US%20%242.56%21US%20%242.56%21%21%212.56%212.56%21%402103253917103112497111775e1ba8%2110000014524914314%21sh%21US%212734383106%21&spm=a2g0o.store_pc_allItems_or_groupList.new_all_items_2007473650367.33023279793&gatewayAdapt=glo2usa
Idler Pully - GT2 20T 6mm - Toothed,2,Aliexpress,$7.40,https://www.aliexpress.us/item/3256804188092382.html?spm=a2g0o.productlist.main.1.3276wqt0wqt0ks&algo_pvid=82d0b77f-eebc-48a4-acdb-ded55e4dd83a&algo_exp_id=82d0b77f-eebc-48a4-acdb-ded55e4dd83a-0&pdp_npi=4%40dis%21USD%213.70%213.70%21%21%213.70%213.70%21%402101e62517103111453794122ee87e%2112000028954062683%21sea%21US%212734383106%21&curPageLogUid=volQfcZ2yyPd&utparam-url=scene%3Asearch%7Cquery_from%3A
Idler Pully - GT2 20T 9mm (<=15mm OD),4,Aliexpress,$9.76,https://www.aliexpress.us/item/3256805595039358.html?spm=a2g0o.productlist.main.1.4c883C5K3C5KfL&algo_pvid=ae88a111-b2a7-4af1-a630-cd99b81ad521&algo_exp_id=ae88a111-b2a7-4af1-a630-cd99b81ad521-0&pdp_npi=4%40dis%21USD%212.26%212.26%21%21%2116.54%2116.54%21%402101c5b217367591753568704eb236%2112000034346542571%21sea%21US%210%21ABX&curPageLogUid=MGzlANZsKJSH&utparam-url=scene%3Asearch%7Cquery_from%3A
M5x60mm D-shaft,5,Aliexpress,$29.99,https://www.aliexpress.us/item/2255800117390662.html?pdp_npi=4%40dis%21USD%21US%20%246.99%21US%20%246.99%21%21%216.99%216.99%21%402101e58b17103784927093513e463f%2112000037413927080%21sh%21US%210%21&spm=a2g0o.store_pc_allItems_or_groupList.new_all_items_2007472062931.4000303705414&gatewayAdapt=glo2usa
M3x40mm Dowel Pin,2,Aliexpress,$2.08,https://www.aliexpress.us/item/3256806386816523.html?spm=a2g0o.productlist.main.5.5b601f225a89gR&algo_pvid=1fec83e8-ece8-4696-8f5b-1c62e59b8060&algo_exp_id=1fec83e8-ece8-4696-8f5b-1c62e59b8060-2&pdp_npi=4%40dis%21USD%212.77%212.30%21%21%212.77%212.30%21%402101fb0c17102989100335317edc88%2112000037707218355%21sea%21US%21811915589%21&curPageLogUid=CFri2pgXMPuo&utparam-url=scene%3Asearch%7Cquery_from%3A
M3x60mm Dowel Pin,8,Aliexpress,$2.28,https://www.aliexpress.us/item/3256806386816523.html?spm=a2g0o.productlist.main.5.5b601f225a89gR&algo_pvid=1fec83e8-ece8-4696-8f5b-1c62e59b8060&algo_exp_id=1fec83e8-ece8-4696-8f5b-1c62e59b8060-2&pdp_npi=4%40dis%21USD%212.77%212.30%21%21%212.77%212.30%21%402101fb0c17102989100335317edc88%2112000037707218355%21sea%21US%21811915589%21&curPageLogUid=CFri2pgXMPuo&utparam-url=scene%3Asearch%7Cquery_from%3A
Washer - Precision - 5mm ID x 7mm OD x 1mm W,16,Aliexpress,$2.63,https://www.aliexpress.us/item/3256803238580137.html?spm=a2g0o.order_list.order_list_main.10.58281802zh1opu&gatewayAdapt=glo2usa
"M5 T-Nut, Roll-in",82,Aliexpress,$8.44,https://www.aliexpress.us/item/2251832837457300.html?spm=a2g0o.productlist.main.1.32173b14l4L4sl&algo_pvid=f39ed965-9e1c-4389-bd34-0cf7a149022c&algo_exp_id=f39ed965-9e1c-4389-bd34-0cf7a149022c-0&pdp_npi=4%40dis%21USD%217.92%217.92%21%21%2156.62%2156.62%21%402103080517103010139937138e01e2%2167233829911%21sea%21US%21811915589%21&curPageLogUid=iswMDkB51ws4&utparam-url=scene%3Asearch%7Cquery_from%3A
Washer - Precision - 5mm ID x 7mm OD x 1mm W,20,Aliexpress,$2.99,https://www.aliexpress.us/item/3256803238580137.html?spm=a2g0o.order_list.order_list_main.10.2d141802yi3rqF&gatewayAdapt=glo2usa
M3x10mm Coupling Hex Nut,8,Aliexpress,$4.64,https://www.aliexpress.us/item/2255801093041781.html?spm=a2g0o.productlist.main.11.1cacYB9oYB9oHD&algo_pvid=a2c293a4-1db0-4ad7-a168-e7ca34b40d27&algo_exp_id=a2c293a4-1db0-4ad7-a168-e7ca34b40d27-5&pdp_npi=4%40dis%21USD%211.99%211.55%21%21%211.99%211.55%21%402103080f17103742575384608e71df%2110000015584919047%21sea%21US%21811915589%21&curPageLogUid=aPfYKSLYZ5sl&utparam-url=scene%3Asearch%7Cquery_from%3A
Washer - Precision - 5mm ID x 10mm OD x 0.5mm W,3,Aliexpress,$3.98,https://www.aliexpress.us/item/3256803847492146.html?spm=a2g0o.productlist.main.7.7492knuzknuzCz&algo_pvid=1106bf53-3e01-4e18-a86d-9676de60a624&aem_p4p_detail=202403131852068693661718691000001757777&algo_exp_id=1106bf53-3e01-4e18-a86d-9676de60a624-3&pdp_npi=4%40dis%21USD%211.98%211.50%21%21%211.98%211.50%21%402103209b17103811263364959e4b3f%2112000027809285691%21sea%21US%212734383106%21&curPageLogUid=FoT6NzgixWEl&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202403131852068693661718691000001757777_4
"Bowden Tube, 4mm OD x 3mm  ID, 1m",1,Aliexpress,$1.45,https://www.aliexpress.us/item/3256801694696619.html?spm=a2g0o.productlist.main.5.3983XCBEXCBEdX&algo_pvid=0e7f2933-dc15-46a8-bb74-0e4d0a9b7243&aem_p4p_detail=202403131949594996348904141400001306606&algo_exp_id=0e7f2933-dc15-46a8-bb74-0e4d0a9b7243-2&pdp_npi=4%40dis%21USD%212.04%211.59%21%21%212.04%211.59%21%402103010c17103845993737784e5705%2112000018002476770%21sea%21US%212734383106%21&curPageLogUid=yhwCcShm4wDo&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202403131949594996348904141400001306606_3
"Tooling Ball, 14mm Dia, 20mm Shoulder, 15mm shank, M5 thread",3,Aliexpress,$24.64,https://www.aliexpress.com/item/32800718027.html
"Thermal Switch, 15A 250VAC, 150C",1,Alpha_Elektroniks,$5.84,https://alpha-elektroniks.com/en/SK-Series.html
"Bed Spacer, M4 Knurled Nut",4,Amazon,$7.49,https://www.amazon.com/uxcell-Knurled-Collar-Nickel-Plating/dp/B07LFH3VK2
"Axial Fan - 4020, 24V",2,Amazon,$19.99,https://www.amazon.com/WINSINN-Brushless-Inverter-Extruder-Makerbot/dp/B07L3CT33J
"Cable Chain, 500mm",2,Amazon,$9.99,https://www.amazon.com/dp/B096MG7VK5?ref=ppx_yo2ov_dt_b_product_details&th=1
